method,api,iterations,elapsed_ms
iris,RestRserve,2000,788364.7277355194
alive,Plumber,2500,49861.38153076172
add,Plumber,2500,53026.7333984375
iris,Plumber,2500,87495.19681930542
alive,Flask,2500,40132.31182098389
add,Flask,2500,40289.973735809326
iris,Flask,2500,115810.69993972778
alive,RestRserve,2500,934006.7722797394
iris,RestRserve,2500,983663.012266159
alive,Plumber,5000,107011.99269294739
add,Plumber,5000,111925.51302909851
iris,Plumber,5000,175756.28089904785
alive,Flask,5000,80936.22779846191
add,Flask,5000,80531.82101249695
iris,Flask,5000,226439.74256515503
alive,RestRserve,5000,1695170.4819202423
iris,RestRserve,5000,1930413.2452011108
alive,Plumber,7500,153451.2584209442
add,Plumber,7500,159854.48718070984
iris,Plumber,7500,258567.19851493835
alive,Flask,7500,117542.32168197632
add,Flask,7500,126289.9055480957
iris,Flask,7500,347003.16071510315
alive,RestRserve,7500,2566182.5194358826
iris,RestRserve,7500,2822670.236349106
alive,Plumber,10000,200968.54710578918
add,Plumber,10000,207715.55376052856
iris,Plumber,10000,352095.10588645935
alive,Flask,10000,158162.55569458008
add,Flask,10000,161319.51665878296
iris,Flask,10000,441780.3807258606
alive,RestRserve,10000,3448479.878425598
iris,RestRserve,10000,3986736.9346618652
alive,Plumber,10,273.12588691711426
add,Plumber,10,218.89901161193848
iris,Plumber,10,483.3247661590576
alive,Flask,10,189.5923614501953
add,Flask,10,185.60504913330078
iris,Flask,10,491.7290210723877
alive,RestRserve,10,3604.069948196411
iris,RestRserve,10,4026.918649673462
alive,Plumber,50,1116.3640022277832
add,Plumber,50,913.050651550293
iris,Plumber,50,2169.2185401916504
alive,Flask,50,1113.692283630371
add,Flask,50,979.3860912322998
iris,Flask,50,2246.1724281311035
alive,RestRserve,50,17408.10751914978
iris,RestRserve,50,19263.551950454712
alive,Plumber,100,2240.278959274292
add,Plumber,100,2222.6366996765137
iris,Plumber,100,3167.3176288604736
alive,Flask,100,1607.5665950775146
add,Flask,100,1532.4268341064453
iris,Flask,100,4211.3213539123535
alive,RestRserve,100,35826.04479789734
iris,RestRserve,100,40179.30555343628
alive,Plumber,250,5077.710151672363
add,Plumber,250,5665.082693099976
iris,Plumber,250,8833.85419845581
alive,Flask,250,3710.507869720459
add,Flask,250,3996.9770908355713
iris,Flask,250,11726.52530670166
alive,RestRserve,250,91476.4142036438
iris,RestRserve,250,99072.67737388611
alive,Plumber,500,10508.78643989563
add,Plumber,500,10591.478824615479
iris,Plumber,500,17888.875246047974
alive,Flask,500,7618.78776550293
add,Flask,500,8028.7134647369385
iris,Flask,500,22139.245748519897
alive,RestRserve,500,183231.67157173157
iris,RestRserve,500,198691.61415100098
alive,Plumber,750,16089.25485610962
add,Plumber,750,19119.843006134033
iris,Plumber,750,26513.592958450317
alive,Flask,750,12597.162246704102
add,Flask,750,14173.059463500977
iris,Flask,750,35195.674419403076
alive,RestRserve,750,261056.67853355408
iris,RestRserve,750,304441.8523311615
alive,Plumber,1000,21183.46405029297
add,Plumber,1000,20254.931926727295
iris,Plumber,1000,35400.084018707275
alive,Flask,1000,14688.480615615845
add,Flask,1000,14910.828590393066
iris,Flask,1000,44993.10088157654
alive,RestRserve,1000,366739.25518989563
iris,RestRserve,1000,409425.2016544342
alive,Plumber,1500,31776.467323303223
add,Plumber,1500,29126.85537338257
iris,Plumber,1500,53630.75065612793
alive,Flask,1500,22621.18148803711
add,Flask,1500,24137.819051742554
iris,Flask,1500,68952.86417007446
alive,RestRserve,1500,548519.4387435913
iris,RestRserve,1500,598029.9837589264
alive,Plumber,2000,43465.965032577515
add,Plumber,2000,45153.90849113464
iris,Plumber,2000,70172.49464988708
alive,Flask,2000,28924.17812347412
add,Flask,2000,31729.72345352173
iris,Flask,2000,89737.2305393219
alive,RestRserve,2000,728632.0567131042
iris,RestRserve,2000,811449.426651001
alive,Plumber,2500,56930.08327484131
add,Plumber,2500,57482.08022117615
iris,Plumber,2500,97416.82410240173
alive,Flask,2500,45647.52674102783
add,Flask,2500,46587.92471885681
iris,Flask,2500,113717.72575378418
alive,RestRserve,2500,948717.9782390594
iris,RestRserve,2500,1062980.2403450012
alive,Plumber,5000,107555.34863471985
add,Plumber,5000,108857.82313346863
iris,Plumber,5000,187773.05459976196
alive,Flask,5000,85746.99139595032
add,Flask,5000,96142.69781112671
iris,Flask,5000,258519.864320755
alive,RestRserve,5000,1906067.47174263
iris,RestRserve,5000,2091798.6302375793
alive,Plumber,7500,166557.96265602112
add,Plumber,7500,179107.3341369629
iris,Plumber,7500,299060.0965023041
alive,Flask,7500,134327.3012638092
add,Flask,7500,138495.9659576416
iris,Flask,7500,366450.3791332245
alive,RestRserve,7500,2765244.1346645355
iris,RestRserve,7500,2987207.20744133
alive,Plumber,10000,227258.05807113647
add,Plumber,10000,223919.12627220154
iris,Plumber,10000,368629.5111179352
alive,Flask,10000,165603.44576835632
add,Flask,10000,167381.79993629456
iris,Flask,10000,491950.18100738525
alive,RestRserve,10000,3554195.9381103516
iris,RestRserve,10000,4176830.1162719727
alive,Plumber,10,376.5709400177002
add,Plumber,10,329.93459701538086
iris,Plumber,10,584.4647884368896
alive,Flask,10,195.93548774719238
add,Flask,10,150.10619163513184
iris,Flask,10,521.0025310516357
alive,RestRserve,10,3365.4935359954834
iris,RestRserve,10,4260.427236557007
alive,Plumber,50,1305.0296306610107
add,Plumber,50,1036.3919734954834
iris,Plumber,50,1771.5415954589844
alive,Flask,50,886.2409591674805
add,Flask,50,803.5438060760498
iris,Flask,50,2621.5507984161377
alive,RestRserve,50,17031.04853630066
iris,RestRserve,50,21376.78337097168
alive,Plumber,100,2844.87247467041
add,Plumber,100,2804.0475845336914
iris,Plumber,100,3513.510227203369
alive,Flask,100,1772.2077369689941
add,Flask,100,1651.0565280914307
iris,Flask,100,4404.6642780303955
alive,RestRserve,100,35629.587173461914
iris,RestRserve,100,41519.232511520386
alive,Plumber,250,5453.243970870972
add,Plumber,250,5314.493179321289
iris,Plumber,250,9352.6291847229
alive,Flask,250,5284.672975540161
add,Flask,250,4053.1678199768066
iris,Flask,250,11530.687093734741
alive,RestRserve,250,87624.61018562317
iris,RestRserve,250,102273.30660820007
alive,Plumber,500,10808.461427688599
add,Plumber,500,11022.881269454956
iris,Plumber,500,18298.469066619873
alive,Flask,500,8855.642795562744
add,Flask,500,9777.706623077393
iris,Flask,500,22550.616979599
alive,RestRserve,500,184132.878780365
iris,RestRserve,500,203615.8595085144
alive,Plumber,750,16652.90927886963
add,Plumber,750,17145.37477493286
iris,Plumber,750,30412.77766227722
alive,Flask,750,13276.609897613525
add,Flask,750,11904.941320419312
iris,Flask,750,35766.764879226685
alive,RestRserve,750,284909.99484062195
iris,RestRserve,750,318785.409450531
alive,Plumber,1000,20661.82231903076
add,Plumber,1000,23181.899785995483
iris,Plumber,1000,35845.51811218262
alive,Flask,1000,16543.88666152954
add,Flask,1000,18194.817304611206
iris,Flask,1000,49586.82179450989
alive,RestRserve,1000,389204.90622520447
iris,RestRserve,1000,412828.6428451538
alive,Plumber,1500,29541.369199752808
add,Plumber,1500,32131.88409805298
iris,Plumber,1500,57615.229845047
alive,Flask,1500,23968.94407272339
add,Flask,1500,29546.68927192688
iris,Flask,1500,69602.00095176697
alive,RestRserve,1500,579846.2417125702
iris,RestRserve,1500,639557.8482151031
alive,Plumber,2000,42153.70512008667
add,Plumber,2000,41831.074714660645
iris,Plumber,2000,72382.70044326782
alive,Flask,2000,39562.517404556274
add,Flask,2000,39126.906871795654
iris,Flask,2000,92663.01202774048
alive,RestRserve,2000,803760.3883743286
iris,RestRserve,2000,888225.6965637207
alive,Plumber,2500,54372.04146385193
add,Plumber,2500,53262.94684410095
iris,Plumber,2500,89771.77739143372
alive,Flask,2500,44154.87456321716
add,Flask,2500,43202.59141921997
iris,Flask,2500,125354.70700263977
alive,RestRserve,2500,991780.8871269226
iris,RestRserve,2500,1084253.7789344788
alive,Plumber,5000,118516.00670814514
add,Plumber,5000,122916.28241539001
iris,Plumber,5000,198835.43872833252
alive,Flask,5000,92302.07896232605
add,Flask,5000,80636.93714141846
iris,Flask,5000,239319.45419311523
alive,RestRserve,5000,1881503.8499832153
iris,RestRserve,5000,2115991.34683609
alive,Plumber,7500,169462.2368812561
add,Plumber,7500,178193.90082359314
iris,Plumber,7500,313152.9314517975
alive,Flask,7500,137148.46539497375
add,Flask,7500,127427.54364013672
iris,Flask,7500,373782.92441368103
alive,RestRserve,7500,2789774.2760181427
iris,RestRserve,7500,3162145.736217499
alive,Plumber,10000,233589.87092971802
add,Plumber,10000,278272.4859714508
iris,Plumber,10000,403265.3274536133
alive,Flask,10000,173059.8862171173
add,Flask,10000,184445.72687149048
iris,Flask,10000,565177.1578788757
alive,RestRserve,10000,3888302.9849529266
iris,RestRserve,10000,4273061.561822891
alive,Plumber,10,366.6973114013672
add,Plumber,10,232.8031063079834
iris,Plumber,10,470.0443744659424
alive,Flask,10,166.90754890441895
add,Flask,10,176.34010314941406
iris,Flask,10,475.0239849090576
alive,RestRserve,10,3537.9083156585693
iris,RestRserve,10,3683.034658432007
alive,Plumber,50,1302.370309829712
add,Plumber,50,1199.263334274292
iris,Plumber,50,1867.4471378326416
alive,Flask,50,774.1734981536865
add,Flask,50,742.9821491241455
iris,Flask,50,2343.463182449341
alive,RestRserve,50,18668.534994125366
iris,RestRserve,50,20339.63656425476
alive,Plumber,100,2601.580858230591
add,Plumber,100,2205.442190170288
iris,Plumber,100,3486.978054046631
alive,Flask,100,1649.3010520935059
add,Flask,100,1525.1295566558838
iris,Flask,100,4752.644777297974
alive,RestRserve,100,37780.900955200195
iris,RestRserve,100,39978.27768325806
alive,Plumber,250,4661.370515823364
add,Plumber,250,6389.103651046753
iris,Plumber,250,9479.837894439697
alive,Flask,250,4060.271978378296
add,Flask,250,4147.224187850952
iris,Flask,250,12700.714588165283
alive,RestRserve,250,90437.97659873962
iris,RestRserve,250,96829.39743995667
alive,Plumber,500,10762.479543685913
add,Plumber,500,11597.990989685059
iris,Plumber,500,18290.961027145386
alive,Flask,500,8975.689172744751
add,Flask,500,8608.88147354126
iris,Flask,500,22837.482690811157
alive,RestRserve,500,173461.90857887268
iris,RestRserve,500,198579.71167564392
alive,Plumber,750,17027.069807052612
add,Plumber,750,17074.984788894653
iris,Plumber,750,31098.99616241455
alive,Flask,750,13765.473365783691
add,Flask,750,12899.793148040771
iris,Flask,750,36607.67388343811
alive,RestRserve,750,266507.21287727356
iris,RestRserve,750,295536.44585609436
alive,Plumber,1000,21131.057262420654
add,Plumber,1000,21664.88218307495
iris,Plumber,1000,37575.70695877075
alive,Flask,1000,15230.56960105896
add,Flask,1000,16182.888269424438
iris,Flask,1000,46283.663749694824
alive,RestRserve,1000,356559.0398311615
iris,RestRserve,1000,398310.96172332764
alive,Plumber,1500,33977.43725776672
add,Plumber,1500,33702.550172805786
iris,Plumber,1500,56765.26737213135
alive,Flask,1500,25319.272994995117
add,Flask,1500,25639.784812927246
iris,Flask,1500,71575.3903388977
alive,RestRserve,1500,524730.9665679932
iris,RestRserve,1500,591607.7697277069
alive,Plumber,2000,45249.281883239746
add,Plumber,2000,46671.982526779175
iris,Plumber,2000,76130.0802230835
alive,Flask,2000,30874.842405319214
add,Flask,2000,32860.694885253906
iris,Flask,2000,87692.6076412201
