samolot;data;trasa;premier
CASA;26.01.2017;EPWA-EPKK;dane/pbs.pdf
CASA;30.01.2017;EPRZ-EPWA;dane/pbs.pdf
EMB;03.02.2017;WAW-POZ-MLA-WAW;dane/pbs.pdf
EMB;08.02.2017;WAW-RTM-WAW;dane/pbs.pdf
CASA;10.02.2017;EPWA-EPKK;dane/pbs.pdf
EMB;10.03.2017;WAW-BRU-WAW;dane/pbs.pdf
CASA;14.03.2017;EPKK-EPWA;dane/pbs.pdf
CASA;17.03.2017;EPWA-EPKK;dane/pbs.pdf
CASA;20.03.2017;EPKK-EPWA;dane/pbs.pdf
EMB;25.03.2017;WAW-CIA-WAW;dane/pbs.pdf
CASA;01.04.2017;EPBY-EPKK;dane/pbs.pdf
CASA;04.04.2017;EPKK-EPWA;dane/pbs.pdf
CASA;18.04.2017;EPKK-EPWA;dane/pbs.pdf
EMB;24.04.2017;WAW-HAJ-WAW;dane/pbs.pdf
EMB;29.04.2017;WAW-BRU-KRK;dane/pbs.pdf
CASA;03.05.2017;EPKK-EPWA-EPKK;dane/pbs.pdf
CASA;05.05.2017;EPKK-EPWA;dane/pbs.pdf
CASA;07.05.2017;EPWA-EPKK-EPWA;dane/pbs.pdf
EMB;08.05.2017;WAW-TLL-WAW;dane/pbs.pdf
W-3 Sokół;19.05.2017;EPWA-EPKK-EPWA;dane/pbs.pdf
CASA;29.05.2017;EPKK-EPWA;dane/pbs.pdf
EMB;31.05.2017;WAW-KRK;dane/pbs.pdf
CASA;01.06.2017;EPKT-EPWA;dane/pbs.pdf
CASA;03.06.2017;EPWA-EPKK;dane/pbs.pdf
EMB;06.06.2017;WAW-KRK-WAW;dane/pbs.pdf
EMB;08.06.2017;WAW-SZZ-WAW;dane/pbs.pdf
EMB;09.06.2017;WAW-CPH-KRK;dane/pbs.pdf
EMB;14.06.2017;WAW-KRK;dane/pbs.pdf
CASA;18.06.2017;EPKK-EPWA;dane/pbs.pdf
EMB;23.06.2017;WAW-BRU-KRK;dane/pbs.pdf
EMB;04.07.2017;WAW-BUD-WAW;dane/pbs.pdf
CASA;07.07.2017;EPWA-EPKK;dane/pbs.pdf
CASA;12.07.2017;EPKK-EPWA;dane/pbs.pdf
CASA;13.07.2017;EPWA-EPKK;dane/pbs.pdf
CASA;17.07.2017;EPKK-EPWA;dane/pbs.pdf
EMB;19.07.2017;WAW-BUD-WAW;dane/pbs.pdf
CASA;21.07.2017;EPWA-EPKK;dane/pbs.pdf
CASA;24.07.2017;EPKK-EPWA;dane/pbs.pdf
EMB;26.07.2017;WAW-KRK-WAW;dane/pbs.pdf
W-3 Sokół;15.08.2017;Jurata-EPWA-EPGD;dane/pbs.pdf
EMB;23.08.2017;KRK-POZ-WAW;dane/pbs.pdf
CASA;28.08.2017;EPWA-EPKK-EPWA;dane/pbs.pdf
EMB;29.08.2017;WAW-KTW-WAW;dane/pbs.pdf
NA;NA;NA;dane/pbs.pdf
EMB;04.09.2017;RZE-WAW;dane/pbs.pdf
EMB;06.09.2017;WAW-KRK-WAW;dane/pbs.pdf
CASA;08.09.2017;EPWA-EPKK;dane/pbs.pdf
CASA;11.09.2017;EPKK-EPWA;dane/pbs.pdf
CASA;15.09.2017;EPWA-EPKK;dane/pbs.pdf
