samolot;data;trasa;premier
EMB;09.06.2017;WAW-CPH-KRK;PBS
EMB;14.06.2017;WAW-KRK;PBS
CASA;18.06.2017;EPKK-EPWA;PBS
EMB;23.06.2017;WAW-BRU-KRK;PBS
EMB;04.07.2017;WAW-BUD-WAW;PBS
CASA;07.07.2017;EPWA-EPKK;PBS
CASA;12.07.2017;EPKK-EPWA;PBS
CASA;13.07.2017;EPWA-EPKK;PBS
CASA;17.07.2017;EPKK-EPWA;PBS
EMB;19.07.2017;WAW-BUD-WAW;PBS
CASA;21.07.2017;EPWA-EPKK;PBS
CASA;24.07.2017;EPKK-EPWA;PBS
EMB;26.07.2017;WAW-KRK-WAW;PBS
W-3 Sokół;15.08.2017;Jurata-EPWA-EPGD;PBS
EMB;23.08.2017;KRK-POZ-WAW;PBS
CASA;28.08.2017;EPWA-EPKK-EPWA;PBS
EMB;29.08.2017;WAW-KTW-WAW;PBS
EMB;04.09.2017;RZE-WAW;PBS
EMB;06.09.2017;WAW-KRK-WAW;PBS
CASA;08.09.2017;EPWA-EPKK;PBS
CASA;11.09.2017;EPKK-EPWA;PBS
CASA;15.09.2017;EPWA-EPKK;PBS
CASA;18.09.2017;EPKK-EPWA;PBS
EMB;20.09.2017;WAW-SOF-WAW;PBS
CASA;25.09.2017;EPKK-EPWA;PBS
EMB;29.09.2017;WAW-TLL-KRK;PBS
CASA;02.10.2017;EPKK-EPWA;PBS
EMB;09.10.2017;KRK-WAW;PBS
CASA;13.10.2017;EPWA-LZIB-EPKK;PBS
EMB;20.10.2017;WAW-BRU-KRK;PBS
CASA;23.10.2017;EPKK-EPWA;PBS
CASA;31.10.2017;EPWA-EPKK;PBS
CASA;05.11.2017;EPKK-EPWA;PBS
EMB;11.11.2017;WAW-KRK;PBS
EMB;12.11.2017;KRK-WAW;PBS
EMB;16.11.2017;WAW-RZE;PBS
CASA;20.11.2017;EPKK-EPWA;PBS
EMB;23.11.2017;WAW-LBG-WAW;PBS
EMB;24.11.2017;WAW-BRU-KRK;PBS
EMB;26.11.2017;KRK-BZG-WAW;PBS
EMB;27.11.2017;WAW-BUD-WAW;PBS
CASA;01.12.2017;EPWA-EPKT;PBS
CASA;03.12.2017;EPKK-EPWA;PBS
EMB;08.12.2017;WAW-KRK;PBS
CASA;10.12.2017;EPKK-EPWA;PBS
TU;30.11.2007;EPWA-EYVI-EPWA;PDT
TU;01.12.2007;EPWA-EPGD-EPWA;PDT
TU;03.12.2007;EPWA-EPGD-EPKT-EPKT;PDT
TU;07.12.2007;EPWA-Rzym-EPGD-EPWA;PDT
TU;10.12.2007;EPWA-EPGD-LKMT-EPAW;PDT
TU;11.12.2007;EPWA-Berlin-EPWA;PDT
TU;14.12.2007;EPWA-Paryż-LPPT-Bruksela-EPGD-EPWA;PDT
TU;19.12.2007;Irak;PDT
TU;21.12.2007;EPWA-EPWR;PDT
TU;10.01.2008;EPWA-LKPR-EPWA;PDT
TU;18.01.2008;EPWA-LZIB-EPWA;PDT
TU;24.01.2008;EPWA-EPSZ-EPWA;PDT
TU;08.02.2008;EPWA-Moskwa-EPGD-EPWA;PDT
W3;18.02.2008;EPGD-Świdwin-EPWA;PDT
YK;22.02.2008;EPWA-EPGD-EPWA;PDT
YK;24.02.2008;EPGD-EPWA;PDT
YK;01.03.2008;EPWA-EPGD;PDT
YK;09.03.2008;EPGD-EPWA;PDT
TU;14.03.2008;EPWA-EPGD;PDT
TU;20.03.2008;EPWA-LJLJ-EPGD-EPWA;PDT
TU;28.03.2008;EPWA-Kijów-EPGD-EPWA;PDT
YK;31.03.2008;EPWA-EPGD-EPWA;PDT
YK;04.04.2008;EPWA-EPGD;PDT
TU;10.04.2008;EPWA- LLBG-EPWA;PDT
YK;18.04.2008;EPWA-EPGD;PDT
YK;25.04.2008;EPWA-EPGD;PDT
YK;30.04.2008;EPWA-EPGD;PDT
YK;02.05.2008;EPWA-EPGD;PDT
YK;09.05.2008;EPWA-EPGD;PDT
YK;12.05.2008;EPGD-EPWA;PDT
TU;20.05.2008;EPWA-Lima-Santiago de Chile-EPWA;PDT
YK;23.05.2008;EPGD-EPWA-EPGD;PDT
TU;24.05.2008;EPWA-LSGG-EPWA;PDT
YK;04.06.2008;EPWA-EVRA-EPWA;PDT
YK;13.06.2008;EPWA-EPGD;PDT
TU;16.06.2008;EPWA-LKPR-EPGD-EPWA;PDT
YK;20.06.2008;EPWA-Bruksela-EPGD-EPWA;PDT
YK;27.06.2008;EPWA-EPGD;PDT
YK;04.07.2008;EPWA-EPGD;PDT
YK;11.07.2008;EPWA-EPGD-EPWA;PDT
YK;18.07.2008;EPWA-EPGD;PDT
YK;21.07.2008;EPGD-EPWA;PDT
YK/Bell;26.07.2008;EPWA-EPKK-Nowy Targ-EPKK-EPWA;PDT
Bell;30.07.2008;EPWA-Łódź-EPWA;PDT
YK;03.08.2008;EPGD-EPKK-EPGD;PDT
Bell;08.08.2008;EPWA-LKMT;PDT
YK;08.08.2008;EPWA-EPGD;PDT
YK;14.08.2008;EPWA-EPGD;PDT
YK;16.08.2008;EPWA-EPGD-EPKT-EPGD-EPWA;PDT
TU;23.08.2008;Irak;PDT
YK/Bell;29.08.2008;EPWA-EPGD-EPSK-EPGD;PDT
TU;01.09.2008;EPWA-EPGD-Bruksela-EPWA;PDT
YK;03.09.2008;EPWA-EPKK-EPWA;PDT
YK;05.09.2008;EPWA-EDDG-EPGD-EPWA;PDT
Bell;08.09.2008;EPGD-Gołdap-EPWA;PDT
Bell;10.09.2008;EPWA-Krynica (Krzyżówka)-EPWA;PDT
TU;17.09.2008;EPWA-Sztokcholm-EPWA;PDT
Bell;18.09.2008;EPWA-Strzelce Op.-EPWA;PDT
TU;19.09.2008;EPWA-EPGD- Kijów-EPWA-EPWR;PDT
YK;03.10.2008;EPWA-EPGD;PDT
TU;08.10.2008;EPWA-Sewilla-EPWA;PDT
YK;09.10.2008;Paryż Berlin Waw;PDT
YK;17.10.2008;EPWA-EPGD;PDT
TU;26.10.2008;WAW-Szanghaj-Pekin-EPGD-EPWA;PDT
YK;31.10.2008;EPWA-EPGD;PDT
TU;07.11.2008;EPWA-Bruksela-EPWA;PDT
YK;07.11.2008;EPWA-EPGD;PDT
YK;10.11.2008;EPGD-EPWA;PDT
TU;12.11.2008;EPWA-Frankfurt-EPWA;PDT
YK;15.11.2008;EPWA-EPGD;PDT
TU;19.11.2008;EPWA-EPGD-Kuwejt-Doha-EPWA;PDT
YK;22.11.2008;EPWA-EPGD;PDT
TU;24.11.2008;EPWA-Londyn-EPWA;PDT
YK;25.11.2008;EPGD-EPWA;PDT
YK;28.11.2008;EPWA-EPPO-EPGD;PDT
YK;30.11.2008;EPGD-EPWA-EPGD;PDT
YK;01.12.2008;EPWA-EPGD-EPPO-EPWA;PDT
YK;03.12.2008;EPWA-EPKK;PDT
YK;04.12.2008;EPKT-EPWA;PDT
TU;12.12.2008;EPWA-Bruksela-EPWA;PDT
YK;12.12.2008;EPWA-EPGD;PDT
YK;17.12.2008;EPWA-EPKT-EPWA;PDT
YK;19.12.2008;EPWA-EPGD;PDT
Bell;20.12.2008;EPGD-Radzikowo-EPGD;PDT
YK;23.12.2008;EPWA-EPGD;PDT
YK;27.12.2008;EPGD-EPPO-EPGD;PDT
YK;30.12.2008;EPWA-EPGD;PDT
YK;09.01.2009;EPWA-Werona-Bratysława-Werona-EPWA;PDT
YK;16.01.2009;EPWA-EPGD;PDT
YK;23.01.2009;EPWA-EPGD;PDT
TU;29.01.2009;EPWA-Zurich-EPWA;PDT
YK;31.01.2009;EPWA-EPGD;PDT
YK;01.02.2009;EPWA-EPGD;PDT
TU;07.02.2009;EPWA-Monachium-EPGD-EPWA;PDT
YK;10.02.2009;EPWA-EPGD-EPWA;PDT
YK;12.02.2009;EPWA-EPGD-EPWA;PDT
YK;15.02.2009;EPGD-EPWA;PDT
TU;19.02.2009;EPWA-EPKK-EPWA;PDT
YK;20.02.2009;EPWa-EPGD;PDT
YK;28.02.2009;EPWA-EPGD-Hamburg-EPGD-EPWA;PDT
YK;06.03.2009;EPWA-EPGD;PDT
YK;13.03.2009;EPWA-EPGD;PDT
TU;20.03.2009;Waw Bruksela Waw;PDT
YK;21.03.2009;EPWA-Radom-EPGD;PDT
Bell;30.03.2009;EPGD-Olecko-EPWA;PDT
YK;04.04.2009;EPWA-EPGD-EPWA-EPWR;PDT
YK;05.04.2009;EPWA-EPWR-Praga-EPGD-EPWA;PDT
YK;06.04.2009;EPGD-EPWA;PDT
YK;09.04.2009;EPGD-EPWA;PDT
YK;09.04.2009;EPWA-EPGD;PDT
YK;14.04.2009;EPGD-EPWA;PDT
YK;15.04.2009;EPWA-EPKT;PDT
YK;17.04.2009;EPWA-Tallin-Helsinki-EPGD-EPWA;PDT
YK;24.04.2009;EPWA-EPGD;PDT
YK;26.04.2009;EPGD-EWWA;PDT
YK;30.04.2009;EPWA-EPGD;PDT
YK;03.05.2009;EPGD-EPWA;PDT
TU;07.05.2009;EPWA-Praga-EPWA;PDT
YK;09.05.2009;EPWA-EPPO-EPGD;PDT
YK;19.05.2009;EPGD-EPWA;PDT
YK;22.05.2009;EPWA-EPGD;PDT
W3;31.05.2009;EPWA-Kazimierz Biskupi;PDT
W3;01.06.2009;EPWA-Poniatowa-EPWA;PDT
W3;02.06.2009;EPWA-Turbia-EPWA;PDT
YK;03.06.2009;EPWA-EPKK;PDT
YK;04.06.2009;EPKK-EPWA;PDT
TU;04.06.2009;EPWA-EPKK-EPGD;PDT
YK;05.06.2009;EPWA-EPKT-EPGD;PDT
YK;05.06.2009;EPGD-EPWA;PDT
YK;07.06.2009;EPGD-EPWA;PDT
TU;18.06.2009;EPWA-Bruksela-EPGD-EPWA;PDT
YK;26.06.2009;EPWA-EPGD;PDT
YK/W3;29.06.2009;EPWR-EPWA;PDT
YK;03.07.2009;EPWA-EPGD;PDT
W3;04.07.2009;EPGD-Pomysk Wlk.-EPGD;PDT
W3;08.07.2009;EPWA-Łyse-EPWA;PDT
TU;10.07.2009;EPWA- Kijów-EPWA-EPGD;PDT
TU;12.07.2009;EPWA-EPGD-Osnabruck-EPGD-EPWA;PDT
YK;13.07.2009;EPGD-EPWA;PDT
YK;17.07.2009;EPWA-EPGD;PDT
YK;24.07.2009;EPWA-EPGD;PDT
YK;01.08.2009;EPWA-EPGD;PDT
YK;13.08.2009;EPWA-EPKT-EPWA;PDT
YK;15.08.2009;EPWA-EPGD;PDT
W3;18.08.2009;EPWA-Jarocin-EPWA;PDT
YK;21.08.2009;EPWA-EPGD;PDT
YK;31.08.2009;EPWA-EPGD;PDT
YK;31.08.2009;EPGD-EPWA;PDT
YK;31.08.2009;EPWA-EPGD;PDT
YK;02.09.2009;EPGD-EPWA;PDT
YK;02.09.2009;EPWA-EPGD;PDT
YK;07.09.2009;EPGD-EPWA-EPWR-EPWA;PDT
YK;11.09.2009;EPWA-EPKK-EPWA;PDT
YK;11.09.2009;EPWA-EPGD-EPWA;PDT
YK;17.09.2009;EPWA-Bruksela;PDT
YK;19.09.2009;Eindhoven - EPGD-EPWA;PDT
YK;21.09.2009;EPGD-EPWA;PDT
TU;04.10.2009;EPWa-Berlin-EPGD-EPWA;PDT
YK;04.10.2009;EPGD-EPWA;PDT
YK;10.10.2009;EPWA-EPGD;PDT
YK;12.10.2009;EPGD-EPWA;PDT
TU;16.10.2009;EPWA-EPGD;PDT
TU;19.10.2009;EPWA-EPGD-Bruksela-EPWA;PDT
TU;23.10.2009;EPWA- Valetta-Ateny-EPWA;PDT
TU;30.10.2009;EPWA- Bruksela-EPWA;PDT
TU;30.10.2009;EPWA-EPGD;PDT
TU;05.11.2009;EPWA-Paryż-EPWA;PDT
YK;06.11.2009;EPWA-EPGD;PDT
TU;09.11.2009;EPWA-EPGD-Berlin-EPWA;PDT
YK;13.11.2009;EPWA-EPGD;PDT
TU;20.11.2009;EPWA-Bruksela-EPWA;PDT
YK;21.11.2009;EPWA-EPGD;PDT
YK;27.11.2009;EPWA-EPGD;PDT
W3;29.11.2009;EPWA-EPGD;PDT
TU;30.11.2009;EPGD-EPWA;PDT
YK;04.12.2009;EPWA-EPKK-EPGD-EPWA;PDT
W3;07.12.2009;EPGD- Łyse-EPWA;PDT
YK;11.12.2009;EPWA-Kolonia-Bruksela-EPGD-EPWA;PDT
YK;14.12.2009;EPGD-EPWA;PDT
TU;18.12.2009;EPWA-Kopenhaga-EPWA;PDT
YK;18.12.2009;EPWA-EPGD;PDT
YK;23.12.2009;EPWA-EPGD;PDT
YK;30.12.2009;EPWA-EPGD;PDT
YK;08.01.2010;EPWA-EPGD;PDT
