data;trasa;kto
25-28.08.2017;EPWA-EPKK-EPWA;pbs
29.08.2017;EPWA-EPKT-EPWA;pbs
30.08-01.09.2017;EPWA-EPWR-EPGD-EPKK;pbs
04.09.2017;EPRZ-EPWA;pbs
05-06.09.2017;EPWA-EPKK-EPWA;pbs
08.09.2017;EPWA-EPKK;pbs
11.09.2017;EPKK-EPWA;pbs
15.09.2017;EPWA-EPKK;pbs
18.09.2017;EPKK-EPWA;pbs
19-20.09.2017;EPWA-SOF-EPWA;pbs
25.09.2017;EPKK-EPWA;pbs
28-29.09.2017;EPWA-TLL-EPKK;pbs
02.10.2017;EPKK-EPWA;pbs
09.10.2017;EPKK-EPWA;pbs
13.10.2017;EPWA-LZIB-EPKK;pbs
18-20.10.2017;EPWA-EBBR-EPKK;pbs
23.10.2017;EPKK-EPWA;pbs
31.10.2017;EPWA-EPKK;pbs
05.11.2017;EPKK-EPWA;pbs
11.11.2017;EPWA-EPKK;pbs
12.11.2017;EPKK-EPWA;pbs
16.11.2017;EPWA-EPRZ;pbs
16-17.11.20107;EPRZ-GOT-EPKK;pbs
20.11.2017;EPKK-EPWA;pbs
22-23.11.2017;EPWA-LBG-EPWA;pbs
24.11.2017;EPWA-EBBR-EPKK;pbs
26.11.2017;EPKK-EPBY-EPWA;pbs
27.11.2017;EPWA-LHBP-EPWA;pbs
28.11-01.12.2017;EPWA-CMN-TUN-EPWA;pbs
01.12.2017;EPWA-EPKT;pbs
03.12.2017;EPKK-EPWA;pbs
08.12.2017;EPWA-EPKK;pbs
10.12.2017;EPKK-EPWA;pbs
30.11.2007;EPWA-EYVI-EPWA;pdt
01.12.2007;EPWA-EPGD-EPWA;pdt
03.12.2007;EPWA-EPGD-EPKT-EPKT;pdt
07.12.2007;EPWA-Rzym-EPGD-EPWA;pdt
09-10.12.2007;EPWA-EPGD-LKMT-EPAW;pdt
11.12.2007;EPWA-EDDT-EPWA;pdt
12-14.12.2007;EPWA-LFPG-LPPT-EBBR-EPGD-EPWA;pdt
19.12.2007;Irak;pdt
21.12.2007;EPWA-EPWR;pdt
10.01.2008;EPWA-LKPR-EPWA;pdt
18.01.2008;EPWA-LZIB-EPWA;pdt
23-24.01.2008;EPWA-EPSZ-EPWA;pdt
08.02.2008;EPWA-Moskwa-EPGD-EPWA;pdt
18.02.2008;EPGD-Świdwin-EPWA;pdt
