frame;mean_red;mean_green;mean_blue;median_red;median_green;median_blue;sum_red;sum_green;sum_blue;mean_value;mean_saturation;mean_hue;median_value;median_saturation;median_hue;sum_value;sum_saturation;sum_hue
32;69,331043595679;66,05100308641975;69,65462962962962;23,0;17,0;17,0;35941213;34240840;36108960;74,48020640432098;63,6433950617284;62,639967206790125;24,0;37,0;18,0;38610539;32992736;32472559
33;69,24224729938271;65,91858603395062;69,56080439814815;23,0;17,0;17,0;35895181;34172195;36060321;74,3866300154321;63,54607445987654;62,706315586419755;24,0;37,0;16,0;38562029;32942285;32506954
34;69,15987654320988;65,82263695987655;69,46466820987655;23,0;17,0;17,0;35852480;34122455;36010484;74,29568865740741;63,60275462962963;62,74636959876543;24,0;37,0;17,0;38514885;32971668;32527718
35;69,03832947530864;65,61201195987654;69,35599151234568;23,0;17,0;17,0;35789470;34013267;35954146;74,1884799382716;63,46936535493827;63,27089699074074;24,0;37,0;16,0;38459308;32902519;32799633
36;68,8228587962963;65,44990933641975;69,12467785493827;23,0;17,0;17,0;35677770;33929233;35834233;73,9600250771605;63,87649691358025;62,97889467592593;24,0;37,0;18,0;38340877;33113576;32648259
37;68,81159143518518;65,37375192901234;69,09363040123456;23,0;17,0;17,0;35671929;33889753;35818138;73,94841435185185;63,713667052469134;63,3403375771605;24,0;38,0;17,0;38334858;33029165;32835631
38;68,71594521604938;65,31385802469136;68,97993827160494;23,0;17,0;16,0;35622346;33858704;35759200;73,83992476851851;63,97744020061728;63,10957561728395;24,0;38,0;18,0;38278617;33165905;32716004
39;68,63255787037038;65,14602237654321;68,88837577160494;23,0;17,0;17,0;35579118;33771698;35711734;73,76340856481481;64,05432291666666;63,498823302469134;24,0;38,0;18,0;38238951;33205761;32917790
40;68,40913580246914;64,97156635802469;68,64106095679013;23,0;17,0;16,0;35463296;33681260;35583526;73,52596450617284;64,49903356481481;63,220850694444444;24,0;38,0;18,0;38115860;33436299;32773689
41;68,36089699074074;64,91694830246914;68,56865547839506;23,0;17,0;16,0;35438289;33652946;35545991;73,46976658950618;64,57601658950617;63,21179591049383;24,0;38,0;18,0;38086727;33476207;32768995
42;68,35481095679012;64,91305362654322;68,51332175925926;23,0;17,0;16,0;35435134;33650927;35517306;73,44180941358024;64,61472608024691;63,03648341049383;24,0;38,0;18,0;38072234;33496274;32678113
43;68,28847222222223;64,83854166666667;68,43429398148149;23,0;17,0;16,0;35400744;33612300;35476338;73,36770640432098;64,66075038580247;63,01374035493827;24,0;38,0;18,0;38033819;33520133;32666323
44;68,5152025462963;64,93889467592592;68,59774112654321;23,0;17,0;16,0;35518281;33664323;35561069;73,56501350308642;64,09344328703703;63,30350115740741;24,0;38,0;16,0;38136103;33226041;32816535
45;68,42139660493827;64,90037037037037;68,44151234567902;23,0;17,0;16,0;35469652;33644352;35480080;73,43709490740741;64,3019000771605;62,996637731481485;24,0;38,0;18,0;38069790;33334105;32657457
46;68,50585841049383;64,85363811728395;68,4816261574074;23,0;17,0;17,0;35513437;33620126;35500875;73,50072530864198;64,10971643518519;63,28424961419753;24,0;38,0;15,0;38102776;33234477;32806555
47;68,26810763888889;64,66004822530864;68,20393904320987;23,0;17,0;16,0;35390187;33519769;35356922;73,23842399691358;64,6016975308642;62,93269675925926;24,0;38,0;16,0;37966799;33489520;32624310
48;68,20700038580247;64,5660050154321;68,12114197530865;23,0;17,0;16,0;35358509;33471017;35314000;73,15983024691359;64,59962384259259;63,027627314814815;24,0;38,0;15,0;37926056;33488445;32673522
49;68,19003086419752;64,50039158950618;68,07609182098766;23,0;17,0;16,0;35349712;33437003;35290646;73,12457561728395;64,52173996913581;63,07653549382716;24,0;38,0;15,0;37907780;33448070;32698876
50;68,08491319444444;64,37859375;67,96046296296296;23,0;17,0;16,0;35295219;33373863;35230704;73,01112847222223;64,57069444444444;63,121431327160494;24,0;38,0;15,0;37848969;33473448;32722150
51;67,95319830246913;64,15079282407407;67,85068287037036;23,0;17,0;16,0;35226938;33255771;35173794;72,89317322530864;64,51264660493827;63,41418788580247;24,0;38,0;15,0;37787821;33443356;32873915
52;67,69110339506173;63,9258275462963;67,56738040123457;23,0;17,0;16,0;35091068;33139149;35026930;72,61739776234568;64,8946412037037;63,2030111882716;24,0;38,0;15,0;37644859;33641382;32764441
53;67,60702932098765;63,73687885802469;67,44889660493827;23,0;17,0;16,0;35047484;33041198;34965508;72,51673804012346;64,91712577160494;63,547604166666666;24,0;39,0;15,0;37592677;33653038;32943078
54;67,42652391975308;63,590003858024694;67,2483487654321;23,0;17,0;16,0;34953910;32965058;34861544;72,31806520061728;65,28616319444444;63,379625771604935;24,0;39,0;15,0;37489685;33844347;32855998
55;67,2742148919753;63,31061728395062;67,10986689814816;23,0;17,0;16,0;34874953;32820224;34789755;72,17472029320987;65,30071759259259;63,74450038580247;24,0;39,0;15,0;37415375;33851892;33045149
56;66,89192515432099;62,98594328703704;66,72163580246914;23,0;16,0;15,0;34676774;32651913;34588496;71,77985339506174;65,80804976851852;63,52892939814815;23,0;39,0;15,0;37210676;34114893;32933397
57;66,63735339506172;62,700833333333335;66,46975694444444;23,0;16,0;15,0;34544804;32504112;34457922;71,52083912037037;66,0556712962963;63,60075810185185;23,0;39,0;15,0;37076403;34243260;32970633
58;66,48135609567902;62,43991512345679;66,33567322530864;23,0;16,0;15,0;34463935;32368852;34388413;71,38732060185185;66,16010416666667;64,08751157407407;23,0;39,0;15,0;37007187;34297398;33222966
59;66,13782407407408;62,14505015432099;65,97175540123457;22,0;16,0;15,0;34285848;32215994;34199758;71,03246913580247;66,74867669753087;63,697094907407404;23,0;40,0;15,0;36823232;34602514;33020574
60;66,11626929012345;62,042179783950616;65,89218557098765;23,0;16,0;15,0;34274674;32162666;34158509;70,98813464506173;66,82933063271605;63,97799575617284;23,0;40,0;15,0;36800249;34644325;33166193
61;65,95916280864198;61,91567515432099;65,69602430555555;22,0;16,0;15,0;34193230;32097086;34056819;70,8083487654321;67,16240547839506;63,894691358024694;23,0;40,0;17,0;36707048;34816991;33123008
62;65,91112268518519;61,79756944444444;65,60877700617284;22,5;16,0;15,0;34168326;32035860;34011590;70,74291087962963;67,12950617283951;64,17565200617284;23,0;40,0;17,0;36673125;34799936;33268658
63;65,7123649691358;61,62425347222222;65,36655285493828;22,0;16,0;15,0;34065290;31946013;33886021;70,5186149691358;67,43942515432099;64,00888695987655;23,0;40,0;18,0;36556850;34960598;33182207
64;65,69014660493828;61,576965663580246;65,28921875;22,0;16,0;15,0;34053772;31921499;33845931;70,45875578703703;67,52713734567901;64,14967399691358;23,0;40,0;18,0;36525819;35006068;33255191
65;65,6669675925926;61,52251736111111;65,1990625;22,0;16,0;15,0;34041756;31893273;33799194;70,39454282407408;67,50576967592593;64,00616898148148;23,0;40,0;17,0;36492531;34994991;33180798
66;65,59226466049383;61,43706983024691;65,10152391975309;22,0;16,0;15,0;34003030;31848977;33748630;70,3049787808642;67,52636766975309;64,0067901234568;23,0;40,0;17,0;36446101;35005669;33181120
67;65,55713348765433;61,384922839506174;65,02603587962963;22,0;16,0;15,0;33984818;31821944;33709497;70,24373263888889;67,4064737654321;64,01637345679012;23,0;40,0;18,0;36414351;34943516;33186088
68;65,50621913580247;61,33502700617284;64,94733217592592;22,0;16,0;15,0;33958424;31796078;33668697;70,17455632716049;67,4189949845679;64,09217785493827;23,0;40,0;18,0;36378490;34950007;33225385
69;65,4154436728395;61,24653935185185;64,83950810185185;22,0;16,0;15,0;33911366;31750206;33612801;70,06869405864198;67,45344714506173;64,05853009259259;23,0;40,0;18,0;36323611;34967867;33207942
70;65,33238425925926;61,14712577160494;64,74160686728395;22,0;16,0;15,0;33868308;31698670;33562049;69,97188657407408;67,48932291666667;64,13232445987654;23,0;40,0;18,0;36273426;34986465;33246197
71;65,23563464506172;61,0266975308642;64,63203703703704;22,0;16,0;15,0;33818153;31636240;33505248;69,86438271604938;67,58123649691358;64,2535262345679;23,0;40,0;18,0;36217696;35034113;33309028
72;65,06047453703704;60,83833912037037;64,4564486882716;22,0;16,0;15,0;33727350;31538595;33414223;69,68107831790124;67,84577160493828;64,3499112654321;23,0;40,0;18,0;36122671;35171248;33358994
73;64,87284915123456;60,62492669753087;64,27603202160493;22,0;16,0;15,0;33630085;31427962;33320695;69,49031442901234;68,02616512345679;64,36271797839507;23,0;40,0;18,0;36023779;35264764;33365633
74;64,74453125;60,47925154320988;64,13202160493827;22,0;16,0;15,0;33563565;31352444;33246040;69,34963927469136;68,28380208333333;64,26963541666667;23,0;40,0;18,0;35950853;35398323;33317379
75;64,70237461419752;60,38648148148148;64,07087770061729;22,0;16,0;15,0;33541711;31304352;33214343;69,293125;68,33427854938272;64,43651041666666;23,0;40,0;18,0;35921556;35424490;33403887
76;64,60950231481482;60,30848958333333;63,95636574074074;22,0;16,0;15,0;33493566;31263921;33154980;69,18862075617284;68,48570794753087;64,3907137345679;23,0;40,0;18,0;35867381;35502991;33380146
77;64,61160300925926;60,26945023148148;63,96083912037037;22,0;16,0;15,0;33494655;31243683;33157299;69,18138888888889;68,29165316358025;64,50593942901234;23,0;40,0;18,0;35863632;35402393;33439879
78;64,50488040123457;60,18263888888889;63,841462191358026;22,0;16,0;15,0;33439330;31198680;33095414;69,06319830246913;68,38404706790124;64,51066358024691;23,0;40,0;18,0;35802362;35450290;33442328
79;64,405625;60,06500385802469;63,729110725308644;22,0;16,0;14,0;33387876;31137698;33037171;68,94634645061728;68,34893325617284;64,61488811728395;23,0;40,0;18,0;35741786;35432087;33496358
80;64,36891589506173;60,00676311728395;63,680414737654324;22,0;16,0;14,0;33368846;31107506;33011927;68,89944637345678;68,33525077160493;64,5800675154321;23,0;40,0;18,0;35717473;35424994;33478307
81;64,33524112654321;59,94876157407408;63,62502700617284;22,0;16,0;14,0;33351389;31077438;32983214;68,85095679012346;68,28352044753086;64,53927469135803;23,0;40,0;18,0;35692336;35398177;33457160
82;64,30549575617285;59,908368055555556;63,584396219135805;22,0;16,0;14,0;33335969;31056498;32962151;68,81431134259259;68,2841338734568;64,56943672839506;23,0;40,0;18,0;35673339;35398495;33472796
83;64,18359567901234;59,764712577160495;63,446539351851854;22,0;16,0;14,0;33272776;30982027;32890686;68,68208719135802;68,40514660493827;64,54730324074075;23,0;41,0;18,0;35604794;35461228;33461322
84;64,14961419753087;59,72087191358025;63,400416666666665;22,0;16,0;14,0;33255160;30959300;32866776;68,63601466049383;68,42334490740741;64,52518711419754;23,0;41,0;18,0;35580910;35470662;33449857
85;64,03723958333333;59,599324845679014;63,27351658950617;22,0;16,0;14,0;33196905;30896290;32800991;68,51430555555555;68,47859375;64,56266010802469;23,0;41,0;18,0;35517816;35499303;33469283
86;64,0864699074074;59,58556905864197;63,310646219135805;22,0;16,0;15,0;33222426;30889159;32820239;68,55598186728395;68,34309799382716;64,74852430555555;23,0;41,0;17,0;35539421;35429062;33565635
87;63,94935763888889;59,46382716049383;63,14782600308642;22,0;16,0;14,0;33151347;30826048;32735833;68,40288387345679;68,48233989197531;64,64722993827161;23,0;41,0;17,0;35460055;35501245;33513124
88;63,87013117283951;59,36462962962963;63,05474151234568;22,0;16,0;14,0;33110276;30774624;32687578;68,3119425154321;68,57794174382715;64,65572916666666;22,0;41,0;17,0;35412911;35550805;33517530
89;63,77972222222222;59,26557291666666;62,96069830246913;22,0;16,0;14,0;33063408;30723273;32638826;68,2149324845679;68,73895061728395;64,7087712191358;22,0;41,0;17,0;35362621;35634272;33545027
90;63,80891975308642;59,22069058641976;62,993792438271605;22,0;16,0;15,0;33078544;30700006;32655982;68,24587577160494;68,54012538580247;64,95923032407407;23,0;41,0;16,0;35378662;35531201;33674865
91;63,70755401234568;59,14485339506173;62,88230324074074;22,0;16,0;14,0;33025996;30660692;32598186;68,1390875771605;68,70162422839506;64,82638888888889;23,0;41,0;16,0;35323303;35614922;33606000
92;63,77646990740741;59,15139853395062;62,96538966049383;22,0;16,0;15,0;33061722;30664085;32641258;68,20956597222222;68,4172087191358;65,15820216049383;23,0;41,0;16,0;35359839;35467481;33778012
93;63,709837962962965;59,114934413580244;62,89725887345679;22,0;16,0;15,0;33027180;30645182;32605939;68,13839506172839;68,59581211419753;65,06054976851851;23,0;41,0;17,0;35322944;35560069;33727389
94;63,792743055555555;59,13925347222222;62,99010802469136;22,0;16,0;15,0;33070158;30657789;32654072;68,21935185185185;68,32078125;65,27547067901234;23,0;41,0;15,0;35364912;35417493;33838804
95;63,69831790123457;59,07006558641975;62,8810050154321;22,0;16,0;15,0;33021208;30621922;32597513;68,11646797839506;68,50205439814815;65,20940200617284;23,0;41,0;16,0;35311577;35511465;33804554
96;63,760480324074074;59,106809413580244;62,949863040123454;22,0;16,0;15,0;33053433;30640970;32633209;68,17315393518518;68,34190200617284;65,32868634259259;23,0;41,0;15,0;35340963;35428442;33866391
97;63,790100308641975;59,105185185185185;62,98158950617284;22,0;16,0;15,0;33068788;30640128;32649656;68,19420524691358;67,89831790123456;65,49370177469136;23,0;41,0;16,0;35351876;35198488;33951935
98;63,78880015432099;59,08630594135803;62,96137731481482;22,0;16,0;15,0;33068114;30630341;32639178;68,18159722222222;67,86089699074074;65,51931134259259;23,0;41,0;15,0;35345340;35179089;33965211
99;63,77979359567901;59,07052083333333;62,95235725308642;22,0;16,0;15,0;33063445;30622158;32634502;68,16414351851851;67,78182291666667;65,61839891975309;23,0;41,0;16,0;35336292;35138097;34016578
100;63,717766203703704;59,01069830246914;62,8864737654321;22,0;16,0;15,0;33031290;30591146;32600348;68,08645061728394;67,65786072530864;65,60860725308642;23,0;41,0;17,0;35296016;35073835;34011502
101;63,614322916666666;58,893445216049386;62,766348379629626;22,0;16,0;15,0;32977665;30530362;32538075;67,97079668209877;67,71021604938272;65,63237268518519;23,0;41,0;18,0;35236061;35100976;34023822
102;63,59880208333333;58,890457175925924;62,74407407407407;22,0;16,0;15,0;32969619;30528813;32526528;67,93889467592592;67,65749421296296;65,64003665123457;23,0;41,0;18,0;35219523;35073645;34027795
103;63,56340663580247;58,849384645061726;62,70891203703704;22,0;16,0;15,0;32951270;30507521;32508300;67,89510995370371;67,68112847222223;65,70080054012345;23,0;41,0;18,0;35196825;35085897;34059295
104;63,45489583333333;58,757033179012346;62,60730131172839;22,0;16,0;15,0;32895018;30459646;32455625;67,77921103395062;67,73776427469136;65,70057291666667;23,0;41,0;18,0;35136743;35115257;34059177
105;63,43924189814815;58,73746141975309;62,56405864197531;22,0;16,0;15,0;32886903;30449500;32433208;67,74306327160494;67,70175925925926;65,68862075617284;23,0;41,0;18,0;35118004;35096592;34052981
106;63,432999614197534;58,7200887345679;62,529886188271604;22,0;16,0;15,0;32883667;30440494;32415493;67,71984375;67,67819830246914;65,68723186728396;23,0;41,0;18,0;35105967;35084378;34052261
107;63,38645640432099;58,666560570987656;62,463310185185186;22,0;16,0;15,0;32859539;30412745;32380980;67,66455054012346;67,70121334876544;65,73992091049382;23,0;41,0;18,0;35077303;35096309;34079575
108;63,29789737654321;58,54346836419753;62,35400462962963;22,0;16,0;15,0;32813630;30348934;32324316;67,56586419753087;67,65737461419754;65,72932098765432;23,0;41,0;18,0;35026144;35073583;34074080
109;63,162717978395065;58,42843557098765;62,19737654320988;22,0;16,0;15,0;32743553;30289301;32243120;67,41585069444444;67,75601658950617;65,6325848765432;23,0;41,0;18,0;34948377;35124719;34023932
110;63,1876350308642;58,404515817901235;62,192083333333336;22,0;16,0;15,0;32756470;30276901;32240376;67,42303047839506;67,52828896604939;65,8156288580247;23,0;41,0;18,0;34952099;35006665;34118822
111;63,036446759259256;58,29381172839506;62,001604938271605;22,0;16,0;15,0;32678094;30219512;32141632;67,25041859567901;67,75254822530864;65,62404706790123;23,0;41,0;18,0;34862617;35122921;34019506
112;62,97024691358025;58,24245949074074;61,89499035493827;22,0;16,0;15,0;32643776;30192891;32086363;67,161824845679;67,7388387345679;65,41581404320988;23,0;41,0;18,0;34816690;35115814;33911558
113;62,88358796296296;58,18414351851852;61,76681134259259;22,0;16,0;15,0;32598852;30162660;32019915;67,0549112654321;67,86839699074073;65,20809413580247;23,0;41,0;18,0;34761266;35182977;33803876
114;62,83486689814815;58,128935185185185;61,70030864197531;22,0;16,0;15,0;32573595;30134040;31985440;66,99539158950617;67,90964313271606;65,21643711419753;23,0;41,0;18,0;34730411;35204359;33808201
115;62,76308063271605;58,08613040123457;61,56350115740741;22,0;16,0;15,0;32536381;30111850;31914519;66,90074074074074;68,28308641975309;65,10505594135803;23,0;41,0;18,0;34681344;35397952;33750461
116;62,698863811728394;58,031714891975305;61,42498070987654;22,0;16,0;14,0;32503091;30083641;31842710;66,80684220679012;68,64512152777777;64,9914486882716;23,0;41,0;18,0;34632667;35585631;33691567
117;62,64955054012346;57,957320601851855;61,334068287037034;22,0;16,0;14,0;32477527;30045075;31795581;66,74012152777777;68,67946566358025;65,02604552469136;23,0;41,0;18,0;34598079;35603435;33709502
118;62,59582947530864;57,93679398148148;61,26245177469136;22,0;16,0;14,0;32449678;30034434;31758455;66,67498649691358;68,74848186728396;64,9440798611111;23,0;41,0;18,0;34564313;35639213;33667011
119;62,537280092592596;57,84318094135803;61,19579475308642;22,0;16,0;14,0;32419326;29985905;31723900;66,60424575617284;68,50013888888888;64,86278356481482;23,0;41,0;18,0;34527641;35510472;33624867
120;62,41657407407408;57,75272762345679;61,057114197530865;22,0;16,0;14,0;32356752;29939014;31652008;66,46838541666666;68,5084413580247;64,71570601851852;23,0;41,0;18,0;34457211;35514776;33548622
121;62,4229012345679;57,770069444444445;61,02232445987654;22,0;16,0;14,0;32360032;29948004;31633973;66,44349151234567;68,5246875;64,5348225308642;23,0;40,0;18,0;34444306;35523198;33454852
122;62,45968171296296;57,74472800925926;61,0554012345679;22,0;16,0;15,0;32379099;29934867;31651120;66,47283179012345;68,33890625;64,63995177469135;23,0;40,0;18,0;34459516;35426889;33509351
123;62,391234567901236;57,70236689814815;60,96858410493827;22,0;16,0;14,0;32343616;29912907;31606114;66,39056327160493;68,48856674382716;64,59667052469136;23,0;40,0;18,0;34416868;35504473;33486914
124;62,38994405864197;57,669130015432096;60,952208719135804;22,0;16,0;14,0;32342947;29895677;31597625;66,37716820987654;68,38577353395061;64,49750771604938;23,0;40,0;18,0;34409924;35451185;33435508
125;62,351836419753084;57,61510223765432;60,896766975308644;22,0;16,0;14,0;32323192;29867669;31568884;66,32717013888889;68,42628086419754;64,50174768518518;23,0;40,0;18,0;34384005;35472184;33437706
126;62,3872762345679;57,59429012345679;60,92558063271605;22,0;16,0;14,0;32341564;29856880;31583821;66,35533564814814;68,18958526234567;64,65192322530864;23,0;40,0;18,0;34398606;35349481;33515557
127;62,26835262345679;57,504510030864196;60,7868074845679;22,0;16,0;14,0;32279914;29810338;31511881;66,22498649691359;68,4032175925926;64,61599922839507;23,0;41,0;18,0;34331033;35460228;33496934
128;62,25005015432099;57,487314814814816;60,74869405864197;22,0;16,0;14,0;32270426;29801424;31492123;66,19141975308642;68,41131558641975;64,64712191358025;23,0;40,0;18,0;34313632;35464426;33513068
129;62,18298611111111;57,43151041666667;60,668304398148145;22,0;16,0;14,0;32235660;29772495;31450449;66,11069058641975;68,37583912037037;64,71308834876544;23,0;40,0;18,0;34271782;35446035;33547265
130;62,101539351851855;57,36707175925926;60,58649112654321;22,0;16,0;14,0;32193438;29739090;31408037;66,02297839506173;68,45030478395061;64,7952025462963;23,0;41,0;18,0;34226312;35484638;33589833
131;59,08411651234568;54,727148919753084;59,87362654320987;62,0;61,0;58,0;30629206;28370554;31038488;71,56472608024691;65,16380979938272;54,70523148148148;80,0;81,0;9,0;37099154;33780919;28359192
132;60,366203703703704;55,858342978395065;61,27572723765432;63,0;62,0;60,0;31293840;28956965;31765337;72,98755979938272;64,7798861882716;55,700372299382714;82,0;80,0;10,0;37836751;33581893;28875073
133;60,47342592592592;56,065364583333334;61,40266396604938;63,0;62,0;60,0;31349424;29064285;31831141;73,13087384259259;64,77255979938272;55,036323302469135;82,0;80,0;9,0;37911045;33578095;28530830
134;61,05292824074074;56,515221836419755;62,13884645061729;64,0;63,0;61,0;31649838;29297491;32212778;73,87856288580247;64,8245775462963;56,46907986111111;83,0;80,0;11,0;38298647;33605061;29273571
135;60,90076581790124;56,521265432098765;62,02709297839506;64,0;63,0;60,0;31570957;29300624;32154845;73,77486882716049;64,94654899691358;55,590449459876545;83,0;80,0;10,0;38244892;33668291;28818089
136;61,171911651234566;56,66304783950617;62,34547260802469;64,0;63,0;61,0;31711519;29374124;32319893;74,09695023148149;64,97887538580247;56,790094521604935;83,0;80,0;11,0;38411859;33685049;29439985
137;60,98582561728395;56,58894290123457;62,15235725308642;64,0;63,0;60,0;31615052;29335708;32219782;73,92629050925926;65,13490740740741;55,80147569444444;83,0;80,0;10,0;38323389;33765936;28927485
138;61,368034336419754;56,74130015432099;62,541174768518516;65,0;63,0;61,0;31813189;29414690;32421345;74,32646797839506;64,99864969135803;57,18095100308642;83,0;80,0;12,0;38530841;33695300;29642605
139;61,22162037037037;56,710725308641976;62,36421875;64,0;63,0;61,0;31737288;29398840;32329611;74,17243634259259;65,103125;56,258778935185184;83,0;80,0;11,0;38450991;33749460;29164551
140;61,884849537037034;57,07112075617284;63,038898533950615;65,0;63,0;62,0;32081106;29585669;32679365;74,8603800154321;64,78341820987654;58,03108024691358;84,0;80,0;15,0;38807621;33583724;30083312
141;61,89501350308642;57,210090663580246;63,010993441358025;65,0;64,0;61,0;32086375;29657711;32664899;74,87901041666667;64,83603587962963;56,98728009259259;84,0;80,0;11,0;38817279;33611001;29542206
